danceability,energy,loudness,major,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cis,D,Dis,E,F,Fis,G,Gis,A,Ais,B,3/4,4/4,5/4,ysrelease,mood
0.618,0.305,-15.107,0,0.0372,0.813,0.0,0.1,0.833,105.714,183493,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19,happy
0.766,0.434,-10.317,1,0.0259,0.607,4.17e-05,0.383,0.872,99.039,213360,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,happy
0.432,0.35,-9.852,0,0.0266,0.672,0.000847,0.0932,0.263,73.411,162293,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,happy
0.599,0.532,-10.693,1,0.0381,0.0415,0.0,0.102,0.547,108.225,139333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,52,happy
0.519,0.538,-7.284,1,0.0311,0.556,0.0,0.119,0.761,117.087,142200,0,0,0,0,0,0,0,0,0,0,1,0,1,0,57,happy
0.341,0.416,-9.574,1,0.0265,0.184,6.28e-05,0.0917,0.499,102.886,134133,0,0,0,0,0,0,0,0,0,0,1,1,0,0,59,happy
0.39,0.625,-7.813,0,0.0537,0.36,0.0,0.0663,0.514,144.338,134387,0,0,0,0,0,0,0,0,1,0,0,0,1,0,58,happy
0.747,0.716,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,210627,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,happy
0.623,0.65,-7.953,1,0.0274,0.245,0.000913,0.146,0.879,116.74,227907,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,happy
0.588,0.748,-6.923,1,0.0271,0.443,0.418,0.165,0.963,102.822,152747,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,happy
0.235,0.841,-5.355,1,0.0498,0.0837,0.655,0.272,0.867,191.047,149787,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,happy
0.529,0.127,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,203573,0,0,0,0,0,0,0,0,0,0,1,0,1,0,53,happy
0.557,0.54,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,0,0,0,0,0,0,0,0,1,0,0,0,1,0,53,happy
0.701,0.944,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993,197707,0,0,0,1,0,0,0,0,0,0,0,0,1,0,39,happy
0.487,0.464,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242,169933,0,0,0,1,0,0,0,0,0,0,0,0,1,0,58,happy
0.356,0.86,-6.221,1,0.0556,5.9e-06,0.0123,0.0929,0.765,83.844,152095,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,happy
